champion,category,vs_champ,value,with_champ
aatrox,WEAK_MATCHUP,Senna,45.30,
aatrox,WEAK_MATCHUP,Swain,46.52,
aatrox,WEAK_MATCHUP,Brand,47.18,
aatrox,WEAK_MATCHUP,Hwei,47.84,
aatrox,WEAK_MATCHUP,Nilah,48.12,
aatrox,WEAK_MATCHUP,Teemo,48.72,
aatrox,WEAK_MATCHUP,Kalista,48.73,
aatrox,WEAK_MATCHUP,Seraphine,49.24,
aatrox,WEAK_MATCHUP,Tristana,49.68,
aatrox,WEAK_MATCHUP,Vayne,50.22,
aatrox,WEAK_MATCHUP,Sivir,50.31,
aatrox,WEAK_MATCHUP,Samira,50.40,
aatrox,WEAK_MATCHUP,Jinx,50.89,
aatrox,WEAK_MATCHUP,Lucian,51.07,
aatrox,WEAK_MATCHUP,Xayah,51.50,
aatrox,WEAK_MATCHUP,Yasuo,51.52,
aatrox,WEAK_MATCHUP,Corki,51.59,
aatrox,WEAK_MATCHUP,Ashe,51.68,
aatrox,WEAK_MATCHUP,Jhin,51.88,
aatrox,WEAK_MATCHUP,Zeri,52.48,
aatrox,WEAK_MATCHUP,Twitch,52.61,
aatrox,WEAK_MATCHUP,Kai'Sa,53.10,
aatrox,WEAK_MATCHUP,Varus,53.18,
aatrox,WEAK_MATCHUP,Smolder,53.23,
aatrox,WEAK_MATCHUP,Draven,53.46,
aatrox,WEAK_MATCHUP,Ziggs,53.48,
aatrox,WEAK_MATCHUP,Yunara,53.80,
aatrox,WEAK_MATCHUP,Ezreal,53.85,
aatrox,WEAK_MATCHUP,Caitlyn,53.94,
aatrox,WEAK_MATCHUP,Mel,54.04,
aatrox,WEAK_MATCHUP,Kog'Maw,54.75,
aatrox,WEAK_MATCHUP,Miss Fortune,54.83,
aatrox,WEAK_MATCHUP,Aphelios,55.08,
aatrox,GOOD_SYNERGY,,58.15,Seraphine
aatrox,GOOD_SYNERGY,,56.37,Senna
aatrox,GOOD_SYNERGY,,56.31,Nilah
aatrox,GOOD_SYNERGY,,55.29,Hwei
aatrox,GOOD_SYNERGY,,54.83,Brand
aatrox,GOOD_SYNERGY,,54.50,Ziggs
aatrox,GOOD_SYNERGY,,53.95,Kog'Maw
aatrox,GOOD_SYNERGY,,53.23,Draven
aatrox,GOOD_SYNERGY,,52.97,Twitch
aatrox,GOOD_SYNERGY,,52.71,Vayne
aatrox,GOOD_SYNERGY,,52.62,Jinx
aatrox,GOOD_SYNERGY,,52.45,Smolder
aatrox,GOOD_SYNERGY,,52.24,Swain
aatrox,GOOD_SYNERGY,,51.49,Yunara
aatrox,GOOD_SYNERGY,,51.34,Miss Fortune
aatrox,GOOD_SYNERGY,,51.27,Kai'Sa
aatrox,GOOD_SYNERGY,,51.19,Caitlyn
aatrox,GOOD_SYNERGY,,50.98,Aphelios
aatrox,GOOD_SYNERGY,,50.95,Ashe
aatrox,GOOD_SYNERGY,,50.89,Lucian
aatrox,GOOD_SYNERGY,,50.87,Xayah
aatrox,GOOD_SYNERGY,,50.66,Samira
aatrox,GOOD_SYNERGY,,50.49,Zeri
aatrox,GOOD_SYNERGY,,50.45,Sivir
aatrox,GOOD_SYNERGY,,50.38,Tristana
aatrox,GOOD_SYNERGY,,50.35,Jhin
aatrox,GOOD_SYNERGY,,49.35,Mel
aatrox,GOOD_SYNERGY,,48.38,Corki
aatrox,GOOD_SYNERGY,,48.04,Kalista
aatrox,GOOD_SYNERGY,,47.96,Ezreal
aatrox,GOOD_SYNERGY,,47.15,Varus
ahri,WEAK_MATCHUP,Seraphine,46.90,
ahri,WEAK_MATCHUP,Senna,48.95,
ahri,WEAK_MATCHUP,Hwei,49.41,
ahri,WEAK_MATCHUP,Samira,49.66,
ahri,WEAK_MATCHUP,Draven,49.69,
